Name,File_Extension,Domain,URLs
That one osu! song,mp4,Youtube,https://www.youtube.com/watch?v=yPWCFWKAgRA
Lucky Star AMV Old,mp4,Youtube,https://www.youtube.com/watch?v=SyI3kJoKRk4
